7.534,16.794
8.067,38.81
14.236,17.004
14.772,55.845
16.431,18.62
19.812,26.959
29.896,22.955
30.904,20.469
37.546,51.787
40.569,20.469
40.569,20.767
45.433,20.305
48.34,21.27
48.812,26.041
64.536,18.424
73.249,22.257
84.994,16.413
84.994,54.009
85.053,33.161
90.747,17.573
90.747,17.932
90.747,81.91
90.747,100.0
90.806,63.485
90.865,16.413
90.865,54.009
96.501,52.6
96.501,100.0
96.56,48.985
96.56,71.497
96.619,17.573
96.619,17.932
96.619,100.0
99.881,81.91
99.94,71.497
100.0,17.932
100.0,100.0
